id,row,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
143,143,DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,27904.0,1929
144,144,XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",14/11/2008,818479.0,2016 (1969)
145,145,DVN,Devon,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,1090012.0,1971
146,146,DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",12/05/2020,1093557.0,1999
147,147,FANG,Diamondback,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,1539838.0,2007
148,148,DLR,Digital Realty,reports,Real Estate,Specialized REITs,"Austin, Texas",18/05/2016,1297996.0,2004
149,149,DFS,Discover,reports,Financials,Consumer Finance,"Riverwoods, Illinois",02/07/2007,1393612.0,1985
150,150,DISCA,Discovery (Series A),reports,Communication Services,Broadcasting,"New York City, New York",01/03/2010,1437107.0,1985
151,151,DISCK,Discovery (Series C),reports,Communication Services,Broadcasting,"New York City, New York",07/08/2014,1437107.0,1985
152,152,DISH,Dish,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082.0,1980
153,153,DIS,Disney,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/06/1976,1744489.0,1923
154,154,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",03/12/2012,29534.0,1939
155,155,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703.0,1986
156,156,D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",01/01/1900,715957.0,1983
157,157,DPZ,Domino's,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12/05/2020,1286681.0,1960
158,158,DOV,Dover,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905.0,1955
159,159,DOW,Dow,reports,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,1751788.0,2019
160,160,DTE,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",04/03/1957,936340.0,1995
161,161,DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,1326160.0,1904
162,162,DRE,Duke Realty,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",26/07/2017,783280.0,1972
163,163,DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",02/04/2019,1666700.0,2017
164,164,DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",04/04/2017,1688568.0,2017
165,165,EMN,Eastman,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",01/01/1994,915389.0,1920
166,166,ETN,Eaton,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",01/01/1900,1551182.0,1911
167,167,EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",22/07/2002,1065088.0,1995
168,168,ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31/01/1989,31462.0,1923
169,169,EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",04/03/1957,827052.0,1886
170,170,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",01/04/2011,1099800.0,1958
171,171,EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/2002,712515.0,1982
172,172,EMR,Emerson,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/1965,32604.0,1890
173,173,ENPH,Enphase,reports,Information Technology,Electronic Components,"Fremont, California",07/01/2021,1463101.0,2006
174,174,ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",04/03/1957,65984.0,1913
175,175,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02/11/2000,821189.0,1999
176,176,EPAM,EPAM,reports,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",14/12/2021,1352010.0,1993
177,177,EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/1997,33185.0,1899
178,178,EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",20/03/2015,1101239.0,1998
179,179,EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",03/12/2001,906107.0,1969
180,180,ESS,Essex,reports,Real Estate,Residential REITs,"San Mateo, California",02/04/2014,920522.0,1971
181,181,EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",05/01/2006,1001250.0,1946
182,182,ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",21/09/2020,1370637.0,2005
183,183,RE,Everest,reports,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,1095073.0,1973
184,184,EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/2018,1711269.0,1909
185,185,ES,Eversource,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",01/01/2009,72741.0,1966
186,186,EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",04/03/1957,1109357.0,2000
187,187,EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",02/10/2007,1324424.0,1996
188,188,EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515.0,1979
189,189,EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/01/2016,1289490.0,1977
190,190,XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",04/03/1957,34088.0,1999
191,191,FFIV,F5,reports,Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695.0,1996
192,192,FDS,FactSet,reports,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",20/12/2021,1013237.0,1978
193,193,FAST,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",15/09/2008,815556.0,1967
194,194,FRT,Federal Realty,reports,Real Estate,Retail REITs,"Rockville, Maryland",01/02/2016,34903.0,1962
195,195,FDX,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,1048911.0,1971
196,196,FITB,Fifth Third Bank,reports,Financials,Regional Banks,"Cincinnati, Ohio",01/01/1900,35527.0,1858
197,197,FRC,First Republic,reports,Financials,Regional Banks,"San Francisco, California",02/01/2019,1132979.0,1985
198,198,FE,FirstEnergy,reports,Utilities,Electric Utilities,"Akron, Ohio",01/01/1900,1031296.0,1997
199,199,FIS,FIS,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,1136893.0,1968
200,200,FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",02/04/2001,798354.0,1984
201,201,FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",20/06/2018,1175454.0,2000
202,202,FMC,FMC,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/08/2009,37785.0,1883
203,203,F,Ford,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",04/03/1957,37996.0,1903
204,204,FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039.0,2000
205,205,FTV,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",01/07/2016,1659166.0,2016
206,206,FBHS,Fortune Brands,reports,Industrials,Building Products,"Deerfield, Illinois",22/06/2016,1519751.0,2011 (1969)
207,207,FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",01/07/2013,1754301.0,2019
208,208,FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",18/09/2015,1754301.0,2019
209,209,BEN,Franklin Templeton,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",01/01/1900,38777.0,1947
210,210,FCX,Freeport-McMoRan,reports,Materials,Copper,"Phoenix, Arizona",01/01/1900,831259.0,1912
211,211,AJG,Gallagher,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31/05/2016,354190.0,1927
212,212,GRMN,Garmin,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788.0,1989
213,213,IT,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/2017,749251.0,1979
214,214,GE,GE,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",01/01/1900,40545.0,1892
215,215,GNRC,Generac,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22/03/2021,1474735.0,1959
216,216,GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",04/03/1957,40533.0,1899
217,217,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",31/03/1969,40704.0,1856
218,218,GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,40987.0,1925
219,219,GILD,Gilead,reports,Health Care,Biotechnology,"Foster City, California",01/07/2004,882095.0,1987
220,220,GL,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,320335.0,1900
221,221,GPN,Global Payments,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/04/2016,1123360.0,2000
222,222,GM,GM,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,1467858.0,1908
223,223,GS,Goldman Sachs,reports,Financials,Investment Banking & Brokerage,"New York City, New York",22/07/2002,886982.0,1869
224,224,GWW,Grainger,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",30/06/1981,277135.0,1927
225,225,HAL,Halliburton,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",04/03/1957,45012.0,1919
226,226,HIG,Hartford (The),reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",04/03/1957,874766.0,1810
227,227,HAS,Hasbro,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/1984,46080.0,1923
228,228,HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,860730.0,1968
229,229,PEAK,Healthpeak,reports,Real Estate,Health Care REITs,"Long Beach, California",31/03/2008,765880.0,1985
230,230,HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,1000228.0,1932
231,231,HSY,Hershey's,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",04/03/1957,47111.0,1894
232,232,HES,Hess,reports,Energy,Integrated Oil & Gas,"New York City, New York",31/05/1984,4447.0,1919
233,233,HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02/11/2015,1645590.0,2015
234,234,HLT,Hilton,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,1585689.0,1919
235,235,HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,859737.0,1985
236,236,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/1988,354950.0,1978
237,237,HON,Honeywell,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",31/03/1964,773840.0,1906
238,238,HRL,Hormel,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",04/03/2009,48465.0,1891
239,239,HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/2007,1070750.0,1993
240,240,HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",31/03/1964,4281.0,2016
241,241,HPQ,HP,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,47217.0,1939 (2015)
242,242,HUM,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",01/01/1900,49071.0,1961
243,243,HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,1501585.0,2011
244,244,HBAN,Huntington National Bank,reports,Financials,Regional Banks,"Columbus, Ohio",01/01/1900,,
245,245,IEX,IDEX,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",09/08/2019,832101.0,1988
246,246,IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,874716.0,1983
247,247,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,49826.0,1912
248,248,ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803.0,1998
249,249,INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169.0,1991
250,250,IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Davidson, North Carolina",03/03/2020,1699150.0,1859
251,251,INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863.0,1968
252,252,ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/2007,1571949.0,2000
253,253,IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",04/03/1957,51143.0,1911
254,254,IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",04/03/1957,51434.0,1898
255,255,IPG,Interpublic Group,reports,Communication Services,Advertising,"New York City, New York",01/10/1992,51644.0,1961 (1930)
256,256,IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",31/03/1976,51253.0,1958 (1889)
257,257,INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",05/12/2000,896878.0,1983
258,258,ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",02/06/2008,1035267.0,1995
259,259,IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/2008,914208.0,1935
260,260,IPGP,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",07/03/2018,1111928.0,1990
261,261,IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,1478242.0,1982
262,262,IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",06/01/2009,1020569.0,1951
263,263,JBHT,J.B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",01/07/2015,728535.0,1961
264,264,JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,779152.0,1976
265,265,J,Jacobs,reports,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,52988.0,1947
266,266,JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/1973,200406.0,1886
267,267,JCI,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",27/08/2010,833444.0,1885
268,268,JPM,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",30/06/1975,19617.0,2000 (1799 / 1871)
269,269,JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",02/06/2006,1043604.0,1996
270,270,K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",11/09/1989,55067.0,1906
271,271,KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",01/03/1994,91576.0,1825
272,272,KEYS,Keysight,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/2018,1601046.0,2014
273,273,KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",04/03/1957,55785.0,1872
274,274,KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",04/04/2006,879101.0,1958
275,275,KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,1506307.0,1997
276,276,KLAC,KLA,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",01/01/1900,319201.0,1975/1977 (1997)
277,277,KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",01/01/1900,,
278,278,KR,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",04/03/1957,56873.0,1883
279,279,LHX,L3Harris,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",22/09/2008,202058.0,2019 (1895)
280,280,LH,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",01/11/2004,920148.0,1978
281,281,LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",29/06/2012,707549.0,1980
282,282,LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",03/12/2018,1679273.0,2016 (1950)
283,283,LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",03/10/2019,1300514.0,1988
284,284,LDOS,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",09/08/2019,1336920.0,1969
285,285,LEN,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",04/10/2005,920760.0,1954
286,286,LLY,Lilly,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478.0,1876
287,287,LNC,Lincoln Financial,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",30/06/1976,59558.0,1905
288,288,LIN,Linde,reports,Materials,Industrial Gases,"Guildford, England",01/07/1992,1707925.0,1879
289,289,LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258.0,2010
290,290,LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/2016,1065696.0,1998
291,291,LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/07/1984,936468.0,1995
292,292,L,Loews Corporation,reports,Financials,Multi-line Insurance,"New York City, New York",01/01/1900,60086.0,1959
293,293,LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/02/1984,60667.0,1904/1946/1959
294,294,LUMN,Lumen,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,18926.0,1983 (1877)
295,295,LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05/09/2012,1489393.0,2007
296,296,MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",23/02/2004,36270.0,1856
297,297,MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",01/05/1991,101778.0,1887
298,298,MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",01/07/2011,1510295.0,2009 (1887)
299,299,MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York City, New York",01/07/2019,1278021.0,2000
300,300,MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",01/01/1900,1048286.0,1927
301,301,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York City, New York",31/08/1987,62709.0,1905
302,302,MLM,Martin Marietta,reports,Materials,Construction Materials,"Raleigh, North Carolina",02/07/2014,916076.0,1993
303,303,MAS,Masco,reports,Industrials,Building Products,"Livonia, Michigan",30/06/1981,62996.0,1929
304,304,MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/07/2008,1141391.0,1966
305,305,MTCH,Match Group,reports,Communication Services,Interactive Media & Services,"Dallas, Texas",20/09/2021,891103.0,1986
306,306,MKC,McCormick,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",20/03/2003,63754.0,1889
307,307,MCD,McDonald's,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/06/1970,63908.0,1940
308,308,MCK,McKesson,reports,Health Care,Health Care Distributors,"Irving, Texas",01/01/1900,927653.0,1833
309,309,MDT,Medtronic,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/1986,1613103.0,1949
310,310,MRK,Merck,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",04/03/1957,310158.0,1891
311,311,FB,Meta,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801.0,2004
312,312,MET,MetLife,reports,Financials,Life & Health Insurance,"New York City, New York",01/01/1900,1099219.0,1868
313,313,MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",06/09/2016,1037646.0,1945
314,314,MGM,MGM Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/07/2017,789570.0,1986
315,315,MCHP,Microchip,reports,Information Technology,Semiconductors,"Chandler, Arizona",07/09/2007,827054.0,1989
316,316,MU,Micron,reports,Information Technology,Semiconductors,"Boise, Idaho",27/09/1994,723125.0,1978
317,317,MSFT,Microsoft,reports,Information Technology,Systems Software,"Redmond, Washington",01/06/1994,789019.0,1975
318,318,MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",02/12/2016,912595.0,1977
319,319,MRNA,Moderna,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",21/07/2021,1682852.0,2010
320,320,MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/2013,851968.0,1878
321,321,MOH,Molina Healthcare,reports,Health Care,Managed Health Care,"Long Beach, California",02/03/2022,1179929.0,1980
322,322,TAP,Molson Coors,reports,Consumer Staples,Brewers,"Chicago, Illinois",30/06/1976,24545.0,"2005 (Molson 1786, Coors 1873)"
323,323,MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",02/10/2012,1103982.0,2012
324,324,MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",12/02/2021,1280452.0,1997
325,325,MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",28/06/2012,865752.0,2012 (1935)
326,326,MCO,Moody's,reports,Financials,Financial Exchanges & Data,"New York City, New York",01/01/1900,1059556.0,1909
327,327,MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York City, New York",01/01/1900,895421.0,1935
328,328,MOS,Mosaic,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/09/2011,1285785.0,2004 (1865 / 1909)
329,329,MSI,Motorola Solutions,reports,Information Technology,Communications Equipment,"Chicago, Illinois",01/01/1900,68505.0,1928 (2011)
330,330,MSCI,MSCI,reports,Financials,Financial Exchanges & Data,"New York City, New York",04/04/2018,1408198.0,1969
331,331,NDAQ,Nasdaq,reports,Financials,Financial Exchanges & Data,"New York City, New York",22/10/2008,1120193.0,1971
332,332,NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",25/06/1999,1002047.0,1992
333,333,NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280.0,1997
334,334,NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",30/04/1989,814453.0,1903
335,335,NEM,Newmont,reports,Materials,Gold,"Denver, Colorado",30/06/1969,1164727.0,1921
336,336,NWSA,News Corp (Class A),reports,Communication Services,Publishing,"New York City, New York",01/08/2013,1564708.0,2013 (1980)
337,337,NWS,News Corp (Class B),reports,Communication Services,Publishing,"New York City, New York",18/09/2015,1564708.0,2013 (1980)
338,338,NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",30/06/1976,753308.0,1984 (1925)
339,339,NLSN,Nielsen,reports,Industrials,Research & Consulting Services,"New York City, New York",09/07/2013,1492633.0,1923
340,340,NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/1988,320187.0,1964
341,341,NI,NiSource,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",01/01/1900,1111711.0,1912
342,342,NDSN,Nordson,reports,Industrials,Industrial Machinery,"Westlake, Ohio",15/02/2022,72331.0,1935
343,343,NSC,Norfolk Southern,reports,Industrials,Railroads,"Norfolk, Virginia",04/03/1957,702165.0,1881/1894 (1980)
344,344,NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",01/01/1900,73124.0,1889
345,345,NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",30/06/1985,1133421.0,"1994 (Northrop 1939, Grumman 1930)"
346,346,NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",25/03/2003,849399.0,1982
347,347,NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/2017,1513761.0,2011 (1966)
348,348,NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29/01/2010,1013871.0,1992
349,349,NUE,Nucor,reports,Materials,Steel,"Charlotte, North Carolina",30/04/1985,73309.0,1940
350,350,NVDA,Nvidia,reports,Information Technology,Semiconductors,"Santa Clara, California",30/11/2001,1045810.0,1993
351,351,NVR,NVR,reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",26/09/2019,906163.0,1980
352,352,NXPI,NXP,reports,Information Technology,Semiconductors,"Eindhoven, Netherlands",22/03/2021,1413447.0,1953
353,353,ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",27/03/2009,898173.0,1957
354,354,OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",31/12/1982,797468.0,1920
355,355,ODFL,Old Dominion,reports,Industrials,Trucking,"Thomasville, North Carolina",09/12/2019,878927.0,1934
356,356,OMC,Omnicom Group,reports,Communication Services,Advertising,"New York City, New York",01/01/1900,29989.0,1986
357,357,OKE,Oneok,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/03/2010,1039684.0,1906
358,358,ORCL,Oracle,reports,Information Technology,Application Software,"Austin, Texas",31/08/1989,1341439.0,1977
359,359,OGN,Organon,reports,Health Care,Pharmaceuticals,"Jersey City, New Jersey",03/06/2021,1821825.0,2021
360,360,OTIS,Otis,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",03/04/2020,1781335.0,2020 (1853)
361,361,PCAR,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",31/12/1980,75362.0,1905
362,362,PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",26/07/2017,75677.0,1959
363,363,PARA,Paramount,reports,Communication Services,Movies & Entertainment,"New York City, New York",01/01/1900,813828.0,2019 (1952)
364,364,PH,Parker,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",30/11/1985,76334.0,1917
365,365,PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",01/01/1900,723531.0,1971
366,366,PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",28/01/2020,1590955.0,1998
367,367,PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/07/2015,1633917.0,1998
368,368,PENN,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",22/03/2021,921738.0,1972
369,369,PNR,Pentair,reports,Industrials,Industrial Machinery,"Worsley, England",01/10/2012,77360.0,1966
370,370,PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",13/11/2008,1378946.0,1842
371,371,PEP,PepsiCo,reports,Consumer Staples,Soft Drinks,"Purchase, New York",04/03/1957,77476.0,1898
