id,row,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
476,476,VRTX,Vertex,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",23/09/2013,875320.0,1989
477,477,VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",30/06/1979,103379.0,1899
478,478,VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",23/04/2004,1792044.0,1961
479,479,V,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",21/12/2009,1403161.0,1958
480,480,VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York City, New York",01/01/2005,899689.0,1982
481,481,VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",30/06/1999,1396009.0,1909
482,482,WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",27/02/2019,943452.0,1999 (1869)
483,483,WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/08/1982,104169.0,1962
484,484,WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921.0,2014
485,485,WM,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",01/01/1900,823768.0,1968
486,486,WAT,Waters,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",01/01/1900,1000697.0,1958
487,487,WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/2008,783325.0,1896
488,488,WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",30/06/1976,72971.0,1852
489,489,WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",30/01/2009,766704.0,1970
490,490,WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",22/05/2020,105770.0,1923
491,491,WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",01/07/2009,106040.0,1970
492,492,WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",01/01/1900,1732845.0,2015
493,493,WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Seattle, Washington",01/01/1900,106535.0,1900
494,494,WHR,Whirlpool,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",01/01/1900,106640.0,1911
495,495,WMB,Williams,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/03/1975,107263.0,1908
496,496,WTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, England",05/01/2016,1140536.0,2016
497,497,WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/2008,1174922.0,2002
498,498,XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",04/03/1957,72903.0,1909
499,499,XYL,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",01/11/2011,1524472.0,2011
500,500,YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",06/10/1997,1041061.0,1997
501,501,ZBRA,Zebra,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/2019,877212.0,1969
502,502,ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",07/08/2001,1136869.0,1927
503,503,ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",22/06/2001,109380.0,1873
504,504,ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21/06/2013,1555280.0,1952
